A,B
Umar guzre gi imtihan mein kya,Daagh hi den ge mujh ko daan mein kya
Meri har baat be-asar hi rahi,Nuqs hai kuch mere bayaan mein kya
Mujh ko to koi tokta bhi nahi,Yahi hota hai khaandaan mein kya
Apni mehroomiyaan chhupate hain hum,Ghareebon ki aan baan mein kya
Khud ko jaana juda zamaane se,Aa gaya tha mere gumaan mein kya
Shaam hi se dukaan deed hai band,Khamoshi keh rahi hai kaan mein kya
Aa raha hai mere gumaan mein kya,Dil ke aate hain jis ko dhyaan bahut
Hai naseem-e-bahaar gard-aalood,Khaak udti hai is makaan mein kya
Hain dalileen tere khilaaf magar,Sochta hoon teri himayat mein kya
Ab nahi koi baat khatre ki,Ab sabhi ko sabhi se khatra hai
